Team	Match	AutoHighHot	AutoHighCold	AutoLowHot	AutoLowCold	AutoMiss	TrussField	TrussHP	TrussFail	High	HighMiss	MiscFoul	MiscStuckBall	MiscDeadBot	Pickups	LowGoal	EtcMobility	EtcNoShow	EtcDefending	EtcDefended	EtcGoalie	EtcGoalieBlock
1708	33	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	1	0	0	1	0	0
145	33	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	1	0	1	1	0	0
4122	33	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
3936	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4203	33	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	0	1	0	0
3059	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1511	34	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0
2228	34	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0
20	34	0	0	0	0	1	0	0	0	4	1	0	0	0	2	0	0	0	0	1	0	0
229	34	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0
870	34	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	1	0	0
4975	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4508	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3990	35	0	1	0	0	0	0	0	0	2	3	0	0	0	5	1	1	0	0	0	0	0
1493	35	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0
1665	35	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
1126	35	1	0	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0
174	35	0	1	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0
116	36	0	1	0	0	0	2	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0
5149	36	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
2911	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3003	36	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
3687	36	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0
340	36	0	1	0	0	1	0	0	0	2	1	0	0	0	2	0	1	0	1	0	0	0
5030	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
2053	37	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0
3015	37	1	0	0	0	1	1	0	0	3	0	0	0	0	4	1	1	0	0	1	0	0
379	37	0	0	0	0	1	1	0	0	4	1	0	0	0	5	0	0	0	0	1	0	0
4134	37	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0
527	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
527	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
2791	38	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	1	0	0	1	0	0
5236	38	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0
578	38	0	1	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
3044	38	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0
53	38	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
250	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
20	39	0	0	0	0	2	0	0	0	2	0	0	0	0	2	2	1	0	0	1	0	0
174	39	0	0	0	0	1	1	0	0	0	2	0	0	0	2	1	1	0	1	1	0	0
4122	39	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
5149	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
2911	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
340	40	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1665	40	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0
229	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
116	40	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0
4134	40	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
3059	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1511	41	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0
3003	41	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0
578	41	1	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	1	1	0	0
